"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier","points_tries","points_convs","points_pens","points_drops"
"4641",0,"Arg",0,"Italy",0,"TC Leonardi",5,"F","won",1,"1","1",5,0,0,0
"4642",0,"Arg",0,"Italy",0,"R Roncero",5,"P","won",1,"1","1",5,0,0,0
"4643",0,"Arg",0,"Italy",0,"LV Senatore",5,"N8","won",1,"1","1",5,0,0,0
"4644",0,"Samoa",0,"Fiji",0,"A Faosiliva",5,"F","won",1,"2","2",5,0,0,0
"4645",0,"Fiji",0,"Samoa",0,"NS Kenatale Ranuku",5,"SH","lost",1,"2","2",5,0,0,0
"4646",0,"Fiji",0,"Samoa",0,"NE Talei",5,"N8","lost",1,"2","2",5,0,0,0
"4647",0,"Fiji",0,"Samoa",0,"TD Tuapati",5,"H","lost",1,"2","2",5,0,0,0
"4648",0,"Tonga",0,"Japan",0,"PNA Kaho",5,"N8","won",1,"2","2",5,0,0,0
"4649",0,"Tonga",0,"Japan",0,"UVT Moa",5,"SH","won",1,"2","2",5,0,0,0
"4650",0,"Tonga",0,"Japan",0,"AN Taufa",5,"W","won",1,"2","2",5,0,0,0
"4651",0,"JPN",0,"Tonga",0,"HF Tui",5,"N8","lost",1,"2","2",5,0,0,0
"4656",0,"Urug",0,"Russia",0,"S Arocena",5,"W","lost",1,"2","2",5,0,0,0
"4657",1,"Urug",0,"Russia",1,"A Duran",5,"FH","lost",0,"2","2",0,2,3,0
"4658",0,"Russ",0,"Uruguay",0,"I Kotov",5,"W","won",1,"2","2",5,0,0,0
"4659",0,"Russ",0,"Uruguay",0,"A Shakirov",5,"SH","won",1,"2","2",5,0,0,0
"4660",0,"Russ",0,"Uruguay",0,"I Zykov",5,"P","won",1,"2","2",5,0,0,0
"4661",0,"Italy",0,"Canada",0,"T d'Apice",5,"H","won",1,"1","2",5,0,0,0
"4662",0,"Fiji",0,"Scotland",0,"JU Domolailai",5,"F","lost",1,"2","1",5,0,0,0
"4663",0,"Fiji",0,"Scotland",0,"W Nayacalevu Vuidravuwalu",5,"W","lost",1,"2","1",5,0,0,0
"4664",0,"Fiji",0,"Scotland",0,"M Talebula Maijaina",5,"FB","lost",1,"2","1",5,0,0,0
"4665",0,"Can",0,"Italy",0,"CA Trainor",5,"W","lost",1,"2","1",5,0,0,0
"4666",0,"Ire",0,"New Zealand",0,"GC Murray",5,"SH","lost",1,"1","1",5,0,0,0
"4667",0,"NZ",0,"Ireland",0,"AL Smith",5,"SH","won",1,"1","1",5,0,0,0
"4668",0,"Wales",0,"Australia",0,"JJV Davies",5,"C","lost",1,"1","1",5,0,0,0
"4669",0,"Aust",0,"Wales",0,"RG Horne",5,"C","won",1,"1","1",5,0,0,0
"4670",0,"Wales",0,"Australia",0,"GP North",5,"W","lost",1,"1","1",5,0,0,0
"4671",0,"SA",0,"England",0,"WS Alberts",5,"F","won",1,"1","1",5,0,0,0
"4672",0,"SA",0,"England",0,"BW du Plessis",5,"H","won",1,"1","1",5,0,0,0
"4673",0,"SA",0,"England",0,"F Hougaard",5,"SH","won",1,"1","1",5,0,0,0
"4674",0,"SA",0,"England",0,"JPR Pietersen",5,"W","won",1,"1","1",5,0,0,0
"4675",0,"Arg",0,"France",0,"B Agulla",5,"W","won",1,"1","1",5,0,0,0
"4676",0,"Arg",0,"France",0,"M Montero",5,"W","won",1,"1","1",5,0,0,0
"4677",0,"Fra",0,"Argentina",0,"LGP Picamoles",5,"N8","lost",1,"1","1",5,0,0,0
"4678",0,"Georg",0,"USA",0,"D Kacharava",5,"C","lost",1,"2","2",5,0,0,0
"4679",0,"USA",0,"Georgia",0,"T Mokate",5,"F","won",1,"2","2",5,0,0,0
"4680",0,"USA",0,"Georgia",0,"JD Paterson",5,"W","won",1,"2","2",5,0,0,0
"4681",0,"USA",0,"Georgia",0,"MZ Petri",5,"SH","won",1,"2","2",5,0,0,0
"4682",0,"Georg",0,"USA",0,"M Sharikadze",5,"C","lost",1,"2","2",5,0,0,0
"4683",0,"USA",0,"Georgia",0,"AN Suniula",5,"C","won",1,"2","2",5,0,0,0
"4684",0,"Samoa",0,"Japan",0,"KF Fotuali'i",5,"SH","won",1,"2","2",5,0,0,0
"4685",0,"JPN",0,"Samoa",0,"T Hirose",5,"W","lost",1,"2","2",5,0,0,0
"4686",0,"JPN",0,"Samoa",0,"HF Tui",5,"N8","lost",1,"2","2",5,0,0,0
"4687",0,"Urug",0,"Portugal",0,"G Mieres Valente",5,"W","won",1,"2","2",5,0,0,0
"4688",0,"Urug",0,"Portugal",0,"MM Sagario Cagnani",5,"P","won",1,"2","2",5,0,0,0
"4689",0,"Urug",0,"Portugal",0,"C Soares de Lima",5,"L","won",1,"2","2",5,0,0,0
"4690",0,"Port",0,"Uruguay",0,"VNBS Uva",5,"F","lost",1,"2","2",5,0,0,0
"4691",0,"Scot",0,"Samoa",0,"JAA Ansbro",5,"C","won",1,"1","2",5,0,0,0
"4692",0,"Scot",0,"Samoa",0,"RJ Harley",5,"N8","won",1,"1","2",5,0,0,0
"4693",0,"Fiji",0,"Tonga",0,"JU Domolailai",5,"F","won",1,"2","2",5,0,0,0
"4694",0,"Fiji",0,"Tonga",0,"M Mocetadra",5,"W","won",1,"2","2",5,0,0,0
"4695",0,"Tonga",0,"Fiji",0,"AN Taufa",5,"W","lost",1,"2","2",5,0,0,0
"4696",0,"Aust",0,"Wales",0,"RG Horne",5,"C","won",1,"1","1",5,0,0,0
"4697",0,"Wales",0,"Australia",0,"RP Jones",5,"N8","lost",1,"1","1",5,0,0,0
"4698",0,"NZ",0,"Ireland",0,"HE Gear",5,"W","won",1,"1","1",5,0,0,0
"4699",0,"NZ",0,"Ireland",0,"LJ Messam",5,"F","won",1,"1","1",5,0,0,0
"4700",0,"NZ",0,"Ireland",0,"BR Smith",5,"W","won",1,"1","1",5,0,0,0
"4701",0,"NZ",0,"Ireland",0,"AJ Thomson",5,"F","won",1,"1","1",5,0,0,0
"4702",0,"Eng",0,"South Africa",0,"DS Care",5,"SH","draw",1,"1","1",5,0,0,0
"4703",0,"SA",0,"England",0,"JPR Pietersen",5,"W","draw",1,"1","1",5,0,0,0
"4704",0,"Georg",0,"Canada",0,"R Belkania",5,"H","lost",1,"2","2",5,0,0,0
"4705",0,"Can",0,"Georgia",0,"SR Duke",5,"W","won",1,"2","2",5,0,0,0
"4706",0,"Georg",0,"Canada",0,"S Mamukashvili",5,"H","lost",1,"2","2",5,0,0,0
"4707",0,"Can",0,"Georgia",0,"DTH van der Merwe",5,"W","won",1,"2","2",5,0,0,0
"4708",1,"Arg",0,"France",1,"F Contepomi",5,"C","lost",0,"1","1",0,2,3,0
"4709",0,"Arg",0,"France",0,"T de la Vega",5,"F","lost",1,"1","1",5,0,0,0
"4710",0,"Fra",0,"Argentina",0,"B Fall",5,"W","won",1,"1","1",5,0,0,0
"4711",0,"Fra",0,"Argentina",0,"A Lapandry",5,"F","won",1,"1","1",5,0,0,0
"4712",0,"Fra",0,"Argentina",0,"M Machenaud",5,"SH","won",1,"1","1",5,0,0,0
"4713",0,"Fra",0,"Argentina",0,"M Mermoz",5,"C","won",1,"1","1",5,0,0,0
"4714",0,"USA",0,"Italy",0,"PL Emerick",5,"C","lost",1,"2","1",5,0,0,0
"4715",0,"Italy",0,"USA",0,"C Festuccia",5,"H","won",1,"1","2",5,0,0,0
"4716",0,"Italy",0,"USA",0,"E Gori",5,"SH","won",1,"1","2",5,0,0,0
"4717",1,"USA",0,"Italy",1,"CT Wyles",5,"FB","lost",0,"2","1",0,2,3,0
"4718",0,"Namib",0,"Senegal",0,"JA Nel",5,"FB","won",1,"2","3",5,0,0,0
"4719",0,"Namib",0,"Madagascar",0,"ML Blom",5,"F","lost",1,"2","3",5,0,0,0
"4720",0,"Namib",0,"Madagascar",0,"CA Botha",5,"W","lost",1,"2","3",5,0,0,0
"4721",0,"Namib",0,"Madagascar",0,"AC Bouwer",5,"C","lost",1,"2","3",5,0,0,0
"4722",0,"Namib",0,"Madagascar",0,"SF Esterhuizen",5,"H","lost",1,"2","3",5,0,0,0
"4723",0,"Namib",0,"Madagascar",0,"P Human",5,"F","lost",1,"2","3",5,0,0,0
"4724",0,"Namib",0,"Madagascar",0,"JA Nel",5,"FB","lost",1,"2","3",5,0,0,0
"4725",0,"Namib",0,"Madagascar",0,"JH Redelinghuys",5,"P","lost",1,"2","3",5,0,0,0
"4726",0,"Namib",0,"Madagascar",0,"L Stoop",5,"W","lost",1,"2","3",5,0,0,0
"4727",0,"NZ",0,"Australia",0,"IJA Dagg",5,"FB","won",1,"1","1",5,0,0,0
"4728",0,"NZ",0,"Australia",0,"CS Jane",5,"W","won",1,"1","1",5,0,0,0
"4729",0,"Aust",0,"New Zealand",0,"NC Sharpe",5,"L","lost",1,"1","1",5,0,0,0
"4730",0,"SA",0,"Argentina",0,"MC Coetzee",5,"F","won",1,"1","1",5,0,0,0
"4731",0,"SA",0,"Argentina",0,"BG Habana",5,"W","won",1,"1","1",5,0,0,0
"4732",0,"SA",0,"Argentina",0,"Z Kirchner",5,"FB","won",1,"1","1",5,0,0,0
"4733",0,"NZ",0,"Australia",0,"IJA Dagg",5,"FB","won",1,"1","1",5,0,0,0
"4734",0,"Arg",0,"South Africa",0,"S Fernandez",5,"C","draw",1,"1","1",5,0,0,0
"4735",0,"SA",0,"Argentina",0,"FPL Steyn",5,"C","draw",1,"1","1",5,0,0,0
"4736",0,"NZ",0,"Argentina",0,"CS Jane",5,"W","won",1,"1","1",5,0,0,0
"4737",0,"Arg",0,"New Zealand",0,"R Roncero",5,"P","lost",1,"1","1",5,0,0,0
"4738",0,"NZ",0,"Argentina",0,"SJ Savea",5,"W","won",1,"1","1",5,0,0,0
"4739",0,"Aust",0,"South Africa",0,"BE Alexander",5,"P","won",1,"1","1",5,0,0,0
"4740",0,"SA",0,"Australia",0,"BG Habana",5,"W","lost",1,"1","1",5,0,0,0
"4741",0,"Aust",0,"South Africa",0,"S Higginbotham",5,"N8","won",1,"1","1",5,0,0,0
"4742",0,"NZ",0,"South Africa",0,"IJA Dagg",5,"FB","won",1,"1","1",5,0,0,0
"4743",0,"SA",0,"New Zealand",0,"BG Habana",5,"W","lost",1,"1","1",5,0,0,0
"4744",0,"NZ",0,"South Africa",0,"AL Smith",5,"SH","won",1,"1","1",5,0,0,0
"4745",0,"Arg",0,"Australia",0,"JA Farias Cabello",5,"F","lost",1,"1","1",5,0,0,0
"4746",0,"Aust",0,"Argentina",0,"DAN Ioane",5,"W","won",1,"1","1",5,0,0,0
"4747",0,"Arg",0,"Australia",0,"TC Leonardi",5,"F","lost",1,"1","1",5,0,0,0
"4748",0,"Aust",0,"Argentina",0,"PJ McCabe",5,"C","won",1,"1","1",5,0,0,0
"4749",0,"Aust",0,"South Africa",0,"MJ Harris",5,"C","lost",1,"1","1",5,0,0,0
"4750",0,"SA",0,"Australia",0,"Z Kirchner",5,"FB","won",1,"1","1",5,0,0,0
"4751",0,"SA",0,"Australia",0,"LFP Louw",5,"F","won",1,"1","1",5,0,0,0
"4752",0,"Arg",0,"New Zealand",0,"GO Camacho",5,"W","lost",1,"1","1",5,0,0,0
"4753",1,"Arg",0,"New Zealand",1,"JM Hernandez",5,"FH","lost",0,"1","1",0,2,3,0
"4754",0,"Arg",0,"New Zealand",0,"M Landajo",5,"SH","lost",1,"1","1",5,0,0,0
"4755",0,"NZ",0,"Argentina",0,"MA Nonu",5,"C","won",1,"1","1",5,0,0,0
"4756",0,"NZ",0,"Argentina",0,"AL Smith",5,"SH","won",1,"1","1",5,0,0,0
"4757",1,"SA",0,"New Zealand",1,"JL Goosen",5,"FH","lost",0,"1","1",0,2,3,0
"4758",0,"SA",0,"New Zealand",0,"BG Habana",5,"W","lost",1,"1","1",5,0,0,0
"4759",0,"NZ",0,"South Africa",0,"MA Nonu",5,"C","won",1,"1","1",5,0,0,0
"4760",0,"NZ",0,"South Africa",0,"AL Smith",5,"SH","won",1,"1","1",5,0,0,0
"4761",0,"NZ",0,"South Africa",0,"CG Smith",5,"C","won",1,"1","1",5,0,0,0
"4762",0,"NZ",0,"South Africa",0,"SL Whitelock",5,"L","won",1,"1","1",5,0,0,0
"4763",1,"Arg",0,"Australia",1,"MT Bosch",5,"C","lost",0,"1","1",0,2,3,0
"4764",0,"Arg",0,"Australia",0,"JJ Imhoff",5,"W","lost",1,"1","1",5,0,0,0
"4765",0,"Aust",0,"Argentina",0,"DAN Ioane",5,"W","won",1,"1","1",5,0,0,0
"4766",0,"Germ",0,"Ukraine",0,"S Armstrong",5,"SH","won",1,"2","3",5,0,0,0
"4767",0,"Germ",0,"Ukraine",0,"B Simm",5,"C","won",1,"2","3",5,0,0,0
"4768",0,"Germ",0,"Ukraine",0,"M Wilhelm",5,"L","won",1,"2","3",5,0,0,0
"4769",0,"Germ",0,"Poland",0,"S Armstrong",5,"SH","lost",1,"2","3",5,0,0,0
"4770",0,"USA",0,"Russia",0,"B Doyle",5,"L","won",1,"2","2",5,0,0,0
"4771",0,"USA",0,"Russia",0,"EC Fry",5,"P","won",1,"2","2",5,0,0,0
"4772",0,"USA",0,"Russia",0,"T L'Estrange",5,"FH","won",1,"2","2",5,0,0,0
"4773",0,"Russ",0,"USA",0,"V Ostrushko",5,"W","lost",1,"2","2",5,0,0,0
"4774",0,"Can",0,"Samoa",0,"CJ Braid",5,"FH","lost",1,"2","2",5,0,0,0
"4775",0,"Can",0,"Samoa",0,"JI Moonlight",5,"F","lost",1,"2","2",5,0,0,0
"4776",0,"Samoa",0,"Canada",0,"T Tuifua",5,"N8","won",1,"2","2",5,0,0,0
"4777",0,"Namib",0,"Zimbabwe",0,"CA Botha",5,"W","won",1,"2","3",5,0,0,0
"4778",0,"Italy",0,"Tonga",0,"L Cittadini",5,"P","won",1,"1","2",5,0,0,0
"4779",0,"Italy",0,"Tonga",0,"LL Ghiraldini",5,"H","won",1,"1","2",5,0,0,0
"4780",0,"JPN",0,"Romania",0,"T Kikutani",5,"N8","won",1,"2","2",5,0,0,0
"4781",0,"Rom",0,"Japan",0,"MV Lemnaru",5,"W","lost",1,"2","2",5,0,0,0
"4782",0,"JPN",0,"Romania",0,"H Onozawa",5,"W","won",1,"2","2",5,0,0,0
"4783",0,"Namib",0,"Zimbabwe",0,"JH Redelinghuys",5,"P","won",1,"2","3",5,0,0,0
"4784",0,"Tonga",0,"Italy",0,"FA Taumalolo",5,"P","lost",1,"2","1",5,0,0,0
"4785",0,"Namib",0,"Zimbabwe",0,"JA Tromp",5,"W","won",1,"2","3",5,0,0,0
"4786",0,"Tonga",0,"Italy",0,"FM Vainikolo",5,"W","lost",1,"2","1",5,0,0,0
"4787",0,"Namib",0,"Zimbabwe",0,"RE van Neel",5,"F","won",1,"2","3",5,0,0,0
"4788",0,"Arg",0,"Wales",0,"GO Camacho",5,"W","won",1,"1","1",5,0,0,0
"4789",0,"Arg",0,"Wales",0,"JJ Imhoff",5,"W","won",1,"1","1",5,0,0,0
"4790",0,"Eng",0,"Fiji",0,"TA Johnson",5,"F","won",1,"1","2",5,0,0,0
"4791",0,"Fiji",0,"England",0,"NL Matawalu",5,"SH","lost",1,"2","1",5,0,0,0
"4792",0,"Eng",0,"Fiji",0,"UCC Monye",5,"W","won",1,"1","2",5,0,0,0
"4793",0,"Fiji",0,"England",0,"SK Qaraniqio",5,"L","lost",1,"2","1",5,0,0,0
"4794",0,"SA",0,"Ireland",0,"R Pienaar",5,"SH","won",1,"1","1",5,0,0,0
"4795",0,"Fra",0,"Australia",0,"W Fofana",5,"W","won",1,"1","1",5,0,0,0
"4796",0,"Fra",0,"Australia",0,"LGP Picamoles",5,"N8","won",1,"1","1",5,0,0,0
"4797",0,"Scot",0,"New Zealand",0,"GDS Cross",5,"P","lost",1,"1","1",5,0,0,0
"4798",0,"NZ",0,"Scotland",0,"IJA Dagg",5,"FB","won",1,"1","1",5,0,0,0
"4799",0,"NZ",0,"Scotland",0,"AK Hore",5,"H","won",1,"1","1",5,0,0,0
"4800",0,"NZ",0,"Scotland",0,"CS Jane",5,"W","won",1,"1","1",5,0,0,0
"4801",0,"NZ",0,"Scotland",0,"BR Smith",5,"C","won",1,"1","1",5,0,0,0
"4802",0,"Port",0,"Uruguay",0,"AM Aguilar",5,"W","won",1,"2","2",5,0,0,0
"4803",0,"Port",0,"Uruguay",0,"JE le Roux",5,"F","won",1,"2","2",5,0,0,0
"4804",0,"Urug",0,"Portugal",0,"R Martinez",5,"C","lost",1,"2","2",5,0,0,0
"4805",0,"Urug",0,"Portugal",0,"G Mieres Valente",5,"W","lost",1,"2","2",5,0,0,0
"4806",0,"Spain",0,"Zimbabwe",0,"J Magunazelaia Pinaga",5,"F","won",1,"2","3",5,0,0,0
"4807",0,"Spain",0,"Zimbabwe",0,"CW Smith",5,"C","won",1,"2","3",5,0,0,0
"4808",0,"Spain",0,"Zimbabwe",0,"M Tudela Perret",5,"W","won",1,"2","3",5,0,0,0
"4809",0,"Samoa",0,"Wales",0,"F Autagavaia",5,"FB","won",1,"2","1",5,0,0,0
"4810",0,"Wales",0,"Samoa",0,"MA Beck",5,"C","lost",1,"1","2",5,0,0,0
"4811",0,"Samoa",0,"Wales",0,"JW Leota",5,"C","won",1,"2","1",5,0,0,0
"4812",0,"Samoa",0,"Wales",0,"TG Pisi",5,"C","won",1,"2","1",5,0,0,0
"4813",0,"JPN",0,"Georgia",0,"H Onozawa",5,"W","won",1,"2","2",5,0,0,0
"4814",0,"Germ",0,"Moldova",0,"K Brenner",5,"F","won",1,"2","3",5,0,0,0
"4815",0,"Namib",0,"Spain",0,"SC de la Harpe",5,"W","lost",1,"2","2",5,0,0,0
"4816",0,"Spain",0,"Namibia",0,"P Feijoo Ugalde",5,"SH","won",1,"2","2",5,0,0,0
"4817",0,"NZ",0,"Italy",0,"CS Jane",5,"FB","won",1,"1","1",5,0,0,0
"4818",0,"Namib",0,"Spain",0,"JA Nel",5,"FB","lost",1,"2","2",5,0,0,0
"4819",0,"NZ",0,"Italy",0,"MA Nonu",5,"C","won",1,"1","1",5,0,0,0
"4820",1,"Italy",1,"New Zealand",0,"L Orquera",5,"FH","lost",0,"1","1",0,2,0,3
"4821",0,"Spain",0,"Namibia",0,"L Pardo Butina",5,"N8","won",1,"2","2",5,0,0,0
"4822",0,"NZ",0,"Italy",0,"KJ Read",5,"N8","won",1,"1","1",5,0,0,0
"4823",0,"Italy",0,"New Zealand",0,"A Sgarbi",5,"C","lost",1,"1","1",5,0,0,0
"4824",0,"Namib",0,"Spain",0,"JA Tromp",5,"W","lost",1,"2","2",5,0,0,0
"4825",0,"Spain",0,"Namibia",0,"M Tudela Perret",5,"W","won",1,"2","2",5,0,0,0
"4826",0,"Germ",0,"Moldova",0,"D Tussac",5,"P","won",1,"2","3",5,0,0,0
"4827",0,"Aust",0,"England",0,"NM Cummins",5,"W","won",1,"1","1",5,0,0,0
"4828",1,"Scot",0,"South Africa",1,"GD Laidlaw",5,"FH","lost",0,"1","1",0,2,3,0
"4829",0,"Scot",0,"South Africa",0,"HB Pyrgos",5,"SH","lost",1,"1","1",5,0,0,0
"4830",0,"Eng",0,"Australia",0,"EM Tuilagi",5,"C","lost",1,"1","1",5,0,0,0
"4831",0,"Port",0,"Chile",0,"GFG Foro",5,"W","won",1,"2","3",5,0,0,0
"4832",0,"Chile",0,"Portugal",0,"P Huete",5,"L","lost",1,"3","2",5,0,0,0
"4833",0,"Can",0,"Russia",0,"N Blevins",5,"C","won",1,"2","2",5,0,0,0
"4834",0,"Can",0,"Russia",0,"TF Paris",5,"W","won",1,"2","2",5,0,0,0
"4835",0,"Arg",0,"France",0,"MT Bosch",5,"C","lost",1,"1","1",5,0,0,0
"4836",0,"Tonga",0,"USA",0,"VFUA Helu",5,"W","won",1,"2","2",5,0,0,0
"4837",0,"Fra",0,"Argentina",0,"Y Nyanga Kabasele",5,"F","won",1,"1","1",5,0,0,0
"4838",0,"Tonga",0,"USA",0,"S Piukala",5,"C","won",1,"2","2",5,0,0,0
"4839",0,"USA",0,"Tonga",0,"RC Shaw",5,"SH","lost",1,"2","2",5,0,0,0
"4840",0,"Tonga",0,"USA",0,"JML Tuineau",5,"L","won",1,"2","2",5,0,0,0
"4841",0,"Fiji",0,"Georgia",0,"V Goneva",5,"C","won",1,"2","2",5,0,0,0
"4842",0,"Georg",0,"Fiji",0,"D Khinchagashvili",5,"P","lost",1,"2","2",5,0,0,0
"4843",0,"Fiji",0,"Georgia",0,"I Ratuva Tavuyara",5,"N8","won",1,"2","2",5,0,0,0
"4844",0,"Italy",0,"Australia",0,"RJ Barbieri",5,"F","lost",1,"1","1",5,0,0,0
"4845",0,"Aust",0,"Italy",0,"NM Cummins",5,"W","won",1,"1","1",5,0,0,0
"4846",0,"USA",0,"Romania",0,"PL Emerick",5,"C","won",1,"2","2",5,0,0,0
"4847",0,"Arg",0,"Ireland",0,"JM Fernandez Lobbe",5,"F","lost",1,"1","1",5,0,0,0
"4848",0,"Ire",0,"Argentina",0,"CJH Gilroy",5,"W","won",1,"1","1",5,0,0,0
"4849",0,"Arg",0,"Ireland",0,"TC Leonardi",5,"F","lost",1,"1","1",5,0,0,0
"4850",0,"USA",0,"Romania",0,"T Ngwenya",5,"W","won",1,"2","2",5,0,0,0
"4851",0,"Ire",0,"Argentina",0,"CR Strauss",5,"H","won",1,"1","1",5,0,0,0
"4852",0,"USA",0,"Romania",0,"AN Suniula",5,"C","won",1,"2","2",5,0,0,0
"4853",0,"Ire",0,"Argentina",0,"SR Zebo",5,"FB","won",1,"1","1",5,0,0,0
"4854",0,"SA",0,"England",0,"WS Alberts",5,"F","won",1,"1","1",5,0,0,0
"4855",0,"Tonga",0,"Scotland",0,"TA Lokotui",5,"L","won",1,"2","1",5,0,0,0
"4856",0,"Tonga",0,"Scotland",0,"FM Vainikolo",5,"W","won",1,"2","1",5,0,0,0
"4857",0,"Samoa",0,"France",0,"D Lemi",5,"FB","lost",1,"2","1",5,0,0,0
"4858",0,"Samoa",0,"France",0,"JI Tekori",5,"L","lost",1,"2","1",5,0,0,0
"4859",0,"Wales",0,"New Zealand",0,"ACG Cuthbert",5,"W","lost",1,"1","1",5,0,0,0
"4860",0,"NZ",0,"Wales",0,"LJ Messam",5,"F","won",1,"1","1",5,0,0,0
"4861",0,"NZ",0,"Wales",0,"L Romano",5,"L","won",1,"1","1",5,0,0,0
"4862",0,"Wales",0,"New Zealand",0,"MS Williams",5,"C","lost",1,"1","1",5,0,0,0
"4863",0,"NZ",0,"Wales",0,"TD Woodcock",5,"P","won",1,"1","1",5,0,0,0
"4864",0,"Eng",0,"New Zealand",0,"CJ Ashton",5,"W","won",1,"1","1",5,0,0,0
"4865",0,"Eng",0,"New Zealand",0,"BM Barritt",5,"C","won",1,"1","1",5,0,0,0
"4866",0,"NZ",0,"England",0,"KJ Read",5,"N8","lost",1,"1","1",5,0,0,0
"4867",0,"Eng",0,"New Zealand",0,"EM Tuilagi",5,"C","won",1,"1","1",5,0,0,0
"4868",0,"Russ",0,"Spain",0,"M Babaev",5,"W","won",1,"2","2",5,0,0,0
"4869",0,"Wales",0,"Ireland",0,"ACG Cuthbert",5,"W","lost",1,"1","1",5,0,0,0
"4870",0,"Ire",0,"Wales",0,"CEJ Healy",5,"P","won",1,"1","1",5,0,0,0
"4871",0,"Wales",0,"Ireland",0,"C Mitchell",5,"P","lost",1,"1","1",5,0,0,0
"4872",0,"Ire",0,"Wales",0,"BG O'Driscoll",5,"C","won",1,"1","1",5,0,0,0
"4873",0,"Ire",0,"Wales",0,"SR Zebo",5,"W","won",1,"1","1",5,0,0,0
"4874",0,"Georg",0,"Belgium",0,"L Chilachava",5,"P","won",1,"2","3",5,0,0,0
"4875",0,"Georg",0,"Belgium",0,"M Gorgodze",5,"F","won",1,"2","3",5,0,0,0
"4876",0,"Belg",0,"Georgia",0,"A Miriallakis",5,"P","lost",1,"3","2",5,0,0,0
"4877",0,"Port",0,"Romania",0,"JDS Bardy",5,"F","lost",1,"2","2",5,0,0,0
"4878",0,"Rom",0,"Portugal",0,"ME Capatana",5,"H","won",1,"2","2",5,0,0,0
"4879",0,"Eng",0,"Scotland",0,"CJ Ashton",5,"W","won",1,"1","1",5,0,0,0
"4880",0,"Eng",0,"Scotland",0,"DS Care",5,"SH","won",1,"1","1",5,0,0,0
"4881",0,"Scot",0,"England",0,"SW Hogg",5,"FB","lost",1,"1","1",5,0,0,0
"4882",0,"Scot",0,"England",0,"SD Maitland",5,"W","lost",1,"1","1",5,0,0,0
"4883",0,"Eng",0,"Scotland",0,"GMW Parling",5,"L","won",1,"1","1",5,0,0,0
"4884",0,"Eng",0,"Scotland",0,"WWF Twelvetrees",5,"C","won",1,"1","1",5,0,0,0
"4885",0,"Italy",0,"France",0,"ML Castrogiovanni",5,"P","won",1,"1","1",5,0,0,0
"4886",0,"Fra",0,"Italy",0,"B Fall",5,"W","lost",1,"1","1",5,0,0,0
"4887",0,"Italy",0,"France",0,"SM Parisse",5,"N8","won",1,"1","1",5,0,0,0
"4888",0,"Fra",0,"Italy",0,"LGP Picamoles",5,"N8","lost",1,"1","1",5,0,0,0
"4889",0,"Georg",0,"Portugal",0,"L Khmaladze",5,"FB","won",1,"2","2",5,0,0,0
"4890",0,"Rom",0,"Russia",0,"RC Dascalu",5,"C","won",1,"2","2",5,0,0,0
"4891",0,"Russ",0,"Romania",0,"D Gerasimov",5,"C","lost",1,"2","2",5,0,0,0
"4892",0,"Spain",0,"Belgium",0,"JC Carter",5,"C","draw",1,"2","3",5,0,0,0
"4893",0,"Belg",0,"Spain",0,"T de Molder",5,"N8","draw",1,"3","2",5,0,0,0
"4894",0,"Belg",0,"Spain",0,"G Piron",5,"C","draw",1,"3","2",5,0,0,0
"4895",0,"Spain",0,"Belgium",0,"M Tudela Perret",5,"W","draw",1,"2","3",5,0,0,0
"4896",0,"Scot",0,"Italy",0,"SW Hogg",5,"FB","won",1,"1","1",5,0,0,0
"4897",0,"Scot",0,"Italy",0,"SF Lamont",5,"C","won",1,"1","1",5,0,0,0
"4898",0,"Scot",0,"Italy",0,"MCM Scott",5,"C","won",1,"1","1",5,0,0,0
"4899",0,"Scot",0,"Italy",0,"TJW Visser",5,"W","won",1,"1","1",5,0,0,0
"4900",0,"Italy",0,"Scotland",0,"A Zanni",5,"F","lost",1,"1","1",5,0,0,0
"4901",0,"Wales",0,"France",0,"GP North",5,"W","won",1,"1","1",5,0,0,0
"4902",0,"Georg",0,"Russia",0,"M Gorgodze",5,"F","won",1,"2","2",5,0,0,0
"4903",0,"Georg",0,"Russia",0,"V Kolelishvili",5,"F","won",1,"2","2",5,0,0,0
"4904",0,"Wales",0,"Italy",0,"ACG Cuthbert",5,"W","won",1,"1","1",5,0,0,0
"4905",0,"Wales",0,"Italy",0,"JJV Davies",5,"C","won",1,"1","1",5,0,0,0
"4906",0,"Rom",0,"Spain",0,"C Fercu",5,"FB","won",1,"2","2",5,0,0,0
"4907",0,"Spain",0,"Romania",0,"L Pardo Butina",5,"N8","lost",1,"2","2",5,0,0,0
"4908",0,"Spain",0,"Romania",0,"C Sempere Padilla",5,"FB","lost",1,"2","2",5,0,0,0
"4909",1,"Spain",0,"Romania",1,"CN Simpson",5,"FH","lost",0,"2","2",0,2,3,0
"4910",0,"Fra",0,"England",0,"W Fofana",5,"C","lost",1,"1","1",5,0,0,0
"4911",1,"Fra",0,"England",1,"MRJ Parra",5,"SH","lost",0,"1","1",0,2,3,0
"4912",0,"Eng",0,"France",0,"EM Tuilagi",5,"C","won",1,"1","1",5,0,0,0
"4913",0,"Ire",0,"Scotland",0,"CJH Gilroy",5,"W","lost",1,"1","1",5,0,0,0
